timestamp,temperature,humidity,raw_line
2026-04-15T10:06:54.374259Z,-20.0000,2.0042,T=-20.0000 H=2.0042
2026-04-15T10:06:54.374259Z,-19.9400,77.2787,T=-19.9400 H=77.2787
2026-04-15T10:06:54.374259Z,-19.8799,24.1266,T=-19.8799 H=24.1266
2026-04-15T10:06:54.374259Z,-19.8199,32.2178,T=-19.8199 H=32.2178
2026-04-15T10:06:54.374259Z,-19.7599,72.7769,T=-19.7599 H=72.7769
2026-04-15T10:06:54.374259Z,-19.6998,57.1163,T=-19.6998 H=57.1163
2026-04-15T10:06:54.374259Z,-19.6398,56.4598,T=-19.6398 H=56.4598
2026-04-15T10:06:54.374259Z,-19.5798,25.8654,T=-19.5798 H=25.8654
2026-04-15T10:06:54.374259Z,-19.5198,71.7174,T=-19.5198 H=71.7174
2026-04-15T10:06:54.374259Z,-19.4597,80.3699,T=-19.4597 H=80.3699
2026-04-15T10:06:54.374259Z,-19.3997,45.4675,T=-19.3997 H=45.4675
2026-04-15T10:06:54.374259Z,-19.3397,40.8666,T=-19.3397 H=40.8666
2026-04-15T10:06:54.374259Z,-19.2796,77.9551,T=-19.2796 H=77.9551
2026-04-15T10:06:54.374259Z,-19.2196,21.0602,T=-19.2196 H=21.0602
2026-04-15T10:06:54.374259Z,-19.1596,27.5393,T=-19.1596 H=27.5393
2026-04-15T10:06:54.374259Z,-19.0995,56.7009,T=-19.0995 H=56.7009
2026-04-15T10:06:54.374259Z,-19.0395,10.9305,T=-19.0395 H=10.9305
2026-04-15T10:06:54.374259Z,-18.9795,60.2844,T=-18.9795 H=60.2844
2026-04-15T10:06:54.374259Z,-18.9195,23.8682,T=-18.9195 H=23.8682
2026-04-15T10:06:54.374259Z,-18.8594,49.5716,T=-18.8594 H=49.5716
2026-04-15T10:06:54.374259Z,-18.7994,81.7592,T=-18.7994 H=81.7592
2026-04-15T10:06:54.374259Z,-18.7394,6.4809,T=-18.7394 H=6.4809
2026-04-15T10:06:54.374259Z,-18.6793,2.5286,T=-18.6793 H=2.5286
2026-04-15T10:06:54.374259Z,-18.6193,75.6447,T=-18.6193 H=75.6447
2026-04-15T10:06:54.374259Z,-18.5593,54.2653,T=-18.5593 H=54.2653
2026-04-15T10:06:54.374259Z,-18.4992,26.1294,T=-18.4992 H=26.1294
2026-04-15T10:06:54.374259Z,-18.4392,53.7269,T=-18.4392 H=53.7269
